# word	per_million
現象	136.9414
製作	136.8523
樣子	136.5104
深	136.4845
想像	136.4003
體驗	136.2035
十分	135.9786
電腦	135.7777
協會	135.3849
積極	135.3830
適合	135.3341
醫生	135.0799
台中	135.0522
步	134.9815
或許	134.9442
動	134.8790
人士	134.8581
有機	134.7405
它們	134.6137
電視	134.5533
醫療	134.5339
不錯	134.5024
居民	134.4658
層	134.1904
控制	134.1660
會議	133.9824
系列	133.7797
經常	133.4593
重	133.1938
初	133.1692
階段	132.9133
負責	132.5440
並且	132.5373
遇到	132.4987
確定	132.4001
反	132.2166
明顯	132.0825
看見	132.0340
衣服	131.8748
等等	131.8630
活	131.8027
紅	131.5058
觀念	131.4628
季	131.4330
員工	131.3218
漂亮	131.2236
電話	131.1827
選	131.1338
皆	131.0227
標準	130.9734
綠	130.8143
時期	130.8129
那樣	130.6715
嗯	130.5417
屆	130.5094
高中	130.3327
英文	130.1558
北京	130.0236
人物	129.9376
魚	129.3337
那裡	129.2755
顯示	129.2539
介紹	129.2005
左右	129.1730
熱	129.0621
期待	129.0349
至於	128.9366
投入	128.5243
原	128.4496
萬	128.1432
專家	127.9208
畢業	127.7687
立委	127.4119
創意	127.2193
酒	126.6450
倍	126.6314
唯一	126.6209
表演	126.5183
地球	126.4591
確實	125.9856
部落	125.9644
安排	125.9368
百	125.8247
特色	125.1937
開發	125.1703
基礎	125.0302
房子	124.9278
米	124.6970
國內	124.5874
平常	124.5313
引起	124.4115
程度	124.3440
興趣	124.1017
北	124.0181
遊客	123.6647
女人	123.6580
邀請	123.6534
正常	123.5947
心理	123.5900
逐漸	123.5899
接著	123.5283
感謝	123.1801
煮	123.0949
照片	123.0700
條件	122.6733
影片	122.6300
空氣	122.4106
朝	122.4061
申請	122.1395
阿嬤	122.0988
公里	122.0726
隨著	121.7434
太太	121.7266
差	121.6638
結構	121.6236
以來	121.6161
位置	121.5267
農民	121.4915
氣	121.3566
品質	121.3244
分別	121.2828
大量	121.1896
表達	120.9779
遊戲	120.9751
進	120.9093
感受	120.7684
垃圾	120.5674
平均	120.5268
校長	120.4956
如今	120.4743
旁邊	120.4699
責任	120.4588
建設	120.4482
下來	120.2796
美元	120.2307
提醒	120.2082
農業	119.7086
永遠	119.5468
集團	119.2993
黑	119.2089
死亡	118.8932
呈現	118.8569
回答	118.7622
主題	118.7322
取得	118.6949
穩定	118.6659
豐富	118.6184
感動	118.4197
雙方	118.1677
均	118.1564
保持	117.9320
數	117.9030
狗	117.8100
高興	117.7837
觀光	117.7107
目的	117.6057
消費者	117.5256
信	117.4710
味道	117.3057
支	117.2636
手機	117.1651
藥	116.9788
價格	116.8840
直到	116.6443
互動	116.4782
大部分	116.2729
提升	116.2570
名字	116.2360
家長	116.2131
船	116.1813
意見	115.9699
圖	115.9109
運用	115.8314
套	115.7855
接下來	115.6308
關心	115.4674
批	115.4518
筆	115.3445
主任	115.2114
檢查	115.0953
語言	114.7838
校	114.6349
懂	114.5467
廣告	114.2210
肯定	114.1359
殺	113.9981
外面	113.9646
號	113.8809
配合	113.7549
直	113.4930
試	113.4295
兒童	113.3161
解	113.1133
獲	113.0407
領域	112.6943
今	112.6918
創造	112.5920
道路	112.5807
疾病	112.5284
老人	112.5140
男子	112.4274
正式	112.4164
明年	112.3586
值得	112.3077
油	112.2518
案	112.2025
特殊	112.0918
執行	112.0487
不可能	111.8599
實驗	111.8555
制度	111.7936
彼此	111.7086
差不多	111.6423
基金會	111.5890
危險	111.5760
倒	111.3613
趕快	111.3465
竟	111.3286
議員	110.7505
這麼多	110.6529
棒	110.6014
當年	110.3381
商品	110.2449
法	110.2428
事業	110.0547
印象	109.9563
調整	109.7996
不可	109.6933
現代	109.5650
狀態	109.5294
組	109.5265
之下	108.8781
距離	108.7711
意外	108.7031
痛	108.3783
規畫	108.2178
睡	107.9493
牠們	107.9085
皇帝	107.5994
模式	107.5993
台南	107.4472
舊	107.4288
顏色	107.4216
面	106.7224
接觸	106.7102
愈	106.5649
立刻	106.4919
小心	106.4228
不只	106.4192
教學	106.3635
有趣	106.2865
最佳	106.2568
國中	106.2453
旅遊	106.2184
颱風	106.1849
