# phrase	weight	tags
李珠熙	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-27,last_seen=2026-06-29,seen_days_30=3,signal_14=14,signal_30=14,windows_14=24h+48h+7d,max_traffic=2000
李現	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=1000
李祐賢	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=14,signal_30=14,windows_14=48h+7d,max_traffic=100
李雅英	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=10000
李鴻淵	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=14,signal_30=14,windows_14=48h+7d,max_traffic=200
村上虹郎	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-27,last_seen=2026-06-29,seen_days_30=3,signal_14=14,signal_30=14,windows_14=24h+48h+7d,max_traffic=1000
杜金龍	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-28,last_seen=2026-06-29,seen_days_30=2,signal_14=11,signal_30=11,windows_14=24h+48h+7d,max_traffic=2000
東元電機	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=100
林宸佑	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-28,seen_days_30=3,signal_14=9,signal_30=9,windows_14=7d,max_traffic=100
林昱珉	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-25,last_seen=2026-06-29,seen_days_30=5,signal_14=18,signal_30=18,windows_14=24h+48h+7d,max_traffic=1000
柯叔元	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=200
柯淑勤	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=14,signal_30=14,windows_14=48h+7d,max_traffic=1000
森崴能源	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=2000
楊紫	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-28,last_seen=2026-06-29,seen_days_30=2,signal_14=8,signal_30=8,windows_14=48h+7d,max_traffic=1000
楊蒂敏	-2.4	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-29,last_seen=2026-06-29,seen_days_30=1,signal_14=5,signal_30=5,windows_14=48h+7d,max_traffic=50000
楠梓電	-1.9	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-29,seen_days_30=4,signal_14=12,signal_30=12,windows_14=7d,max_traffic=200
